n - сколько единиц осталось
len - текущая длина после сокращения
impr - сколько процентов от исходной длины
                      n  len src impr
AMC_P01_1b.fas       26  57  264 0.216
AMC_P02_1a.fas       64  198 264 0.750
AMC_P03_1a.fas       47  100 264 0.379
AMC_P04_1b.fas       64  231 264 0.875
AMC_P05_1b.fas       59  232 264 0.879
AMC_P06_1b.fas       63  169 264 0.640
AMC_P08_1a.fas       52  128 264 0.485
AMC_P09_1b.fas       54  249 264 0.943
AMC_P13_1b.fas       74  232 264 0.879
AMC_P14_1a.fas       7   263 264 0.996
AMC_P15_1a.fas       68  165 264 0.625
AMC_P16_1a.fas       33  73  264 0.277
AMC_P24_1a.fas       61  171 264 0.648
AMC_P30_1a.fas       71  207 264 0.784
AMC_P31_1b.fas       73  198 264 0.750
AMC_P32_2a.fas       52  242 264 0.917
AMC_P35_1b.fas       65  179 264 0.678
AMC_P37_2a.fas       72  216 264 0.818
AMC_P38_3a.fas       62  220 264 0.833
AMC_P39_1a.fas       48  226 264 0.856
AMC_P40_2a.fas       60  180 264 0.682
AMC_P42_1b.fas       65  214 264 0.811
AMC_P43_1a.fas       64  227 264 0.860
AMC_P44_1a.fas       64  230 264 0.871
AMC_P45_1a.fas       61  200 264 0.758
AMC_P46_1b.fas       61  144 264 0.545
AMC_P47_1a.fas       48  245 264 0.928
AMC_P48_1a.fas       63  197 264 0.746
AMC_P49_1a.fas       73  184 264 0.697
AMC_P51_1b.fas       59  198 264 0.750
AMC_P53_3a.fas       47  250 264 0.947
AMC_P58_1a.fas       57  189 264 0.716
AMC_P62_1a.fas       44  99  264 0.375
AMC_P63_1a.fas       37  258 264 0.977
BID_P01T1_1a.fas     44  92  264 0.348
BID_P04T1_1a.fas     26  64  264 0.242
BID_P05T1_1a.fas     25  54  264 0.205
BID_P06T1_1a.fas     44  113 264 0.428
BID_P10T1_1a.fas     60  178 264 0.674
BID_P11T1_1a.fas     40  100 264 0.379
BID_P13T1_1a.fas     49  141 264 0.534
BID_P14T1_1a.fas     49  128 264 0.485
BID_P15T1_1b.fas     47  118 264 0.447
KOM_P003_2a.fas      29  63  264 0.239
KOM_P022_2a.fas      63  205 264 0.777
KOM_P032_2a.fas      79  222 264 0.841
KOM_P033_2a.fas      53  178 264 0.674
KOM_P059_2a.fas      40  100 264 0.379
KOM_P060_2a.fas      39  90  264 0.341
KOM_P061_2a.fas      69  223 261 0.854
KOM_P062_2a.fas      68  217 264 0.822
KOM_P065_2a.fas      37  245 264 0.928
KOM_P066_2a.fas      62  217 264 0.822
KOM_P069_2a.fas      68  198 264 0.750
KOM_P080_2a.fas      57  130 264 0.492
KOM_P084_2a.fas      43  249 264 0.943
KOM_P111_1a.fas      43  95  264 0.360
KOM_P141_2a.fas      34  97  264 0.367
KOM_P146_2a.fas      39  85  264 0.322
KOM_P163_2a.fas      41  107 261 0.410
KOM_P217_2a.fas      32  88  264 0.333
KOM_P221_2a.fas      43  96  264 0.364
KOM_P222_2a.fas      33  94  264 0.356
KOM_P227_2a.fas      46  113 264 0.428
KOM_P239_2a.fas      42  106 264 0.402
KOM_P250_2a.fas      32  78  264 0.295
LYB_P07_1a.fas       58  140 264 0.530
LYB_P11_1a.fas       69  205 264 0.777
LYB_P15_1b.fas       32  68  264 0.258
LYB_P20_1b.fas       32  63  264 0.239
LYB_P22_1b.fas       40  114 264 0.432
LYB_P26_3a.fas       71  162 264 0.614
LYB_P27_3a.fas       47  249 264 0.943
LYB_P28_3a.fas       47  151 264 0.572
LYB_P30_3a.fas       66  173 264 0.655
LYB_P32_3a.fas       65  195 264 0.739
LYB_P35_3a.fas       66  224 264 0.848
LYB_P37_3a.fas       55  133 264 0.504
LYB_P38_1b.fas       46  160 264 0.606
LYB_P39_1a.fas       18  36  264 0.136
LYB_P40_1a.fas       41  91  264 0.345
LYB_P44_1b.fas       20  53  264 0.201
LYB_P46_3a.fas       60  214 264 0.811
LYB_P48_3a.fas       63  219 264 0.830
LYB_P50_3a.fas       33  260 264 0.985
LYB_P51_3a.fas       58  164 264 0.621
LYB_P52_3a.fas       29  260 264 0.985
LYB_P54_1a.fas       36  96  264 0.364
LYB_P57_1a.fas       61  177 264 0.670
LYB_P58_1b.fas       31  80  264 0.303
LYB_P60_1b.fas       40  97  264 0.367
LYB_P61_3a.fas       45  100 264 0.379
LYB_P62_3a.fas       67  156 264 0.591
LYB_P63_3a.fas       60  134 264 0.508
LYB_P64_3a.fas       61  178 264 0.674
PAK_P01_3a.fas       48  108 264 0.409
PAK_P02_3a.fas       57  216 264 0.818
PAK_P04_3a.fas       58  132 264 0.500
PAK_P05_3a.fas       43  101 264 0.383
PAK_P06_3a.fas       61  158 264 0.598
PAK_P07_3a.fas       58  179 264 0.678
PAK_P08_3a.fas       67  224 264 0.848
PAK_P10_3a.fas       70  198 264 0.750
PAK_P11_3a.fas       66  188 264 0.712
PAK_P12_3a.fas       58  203 264 0.769
PAK_P13_3a.fas       62  134 264 0.508
PAK_P14_3a.fas       63  241 264 0.913
VAO_P01_1a.fas       27  69  264 0.261
VAO_P02_1a.fas       22  47  264 0.178
VAO_P05_1a.fas       43  111 264 0.420
VAO_P09_1a.fas       50  123 264 0.466
VAO_P11_1a.fas       35  77  264 0.292
VAO_P12_1a.fas       35  77  264 0.292
VAO_P15_1b.fas       39  100 264 0.379
VAO_P16_1a.fas       69  207 264 0.784
VAO_P17_4a.fas       35  87  264 0.330
VAO_P18_1b.fas       19  40  264 0.152
VAO_P20_1a.fas       37  95  264 0.360
VAO_P22_1a.fas       43  108 264 0.409
VAO_P25_2a.fas       40  104 264 0.394
VAO_P26_1b.fas       36  74  264 0.280
VAO_P29_1a.fas       23  51  264 0.193
VAO_P30_1a.fas       33  75  264 0.284
VAO_P32_1a.fas       52  119 264 0.451
VAO_P36_1a.fas       40  95  264 0.360
VAO_P37_1b.fas       25  57  264 0.216
VAO_P39_1a.fas       17  35  264 0.133
VAO_P40_1a.fas       38  79  264 0.299
VAO_P41_1a.fas       26  57  264 0.216
VAO_P44_1b.fas       63  215 264 0.814
VAO_P45_4a.fas       39  86  264 0.326
VAO_P46_1a.fas       63  223 264 0.845
VAO_P48_1a.fas       45  108 264 0.409
VAO_P50_1a.fas       32  67  264 0.254
VAO_P51_1a.fas       54  163 264 0.617
VAO_P54_1b.fas       36  82  264 0.311
